参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
exchange,無grad thesis 但Sem1寫完capstone sem2 去左,"Sem1寫完grad thesis嘅話, sem2仲可以去exchange 嗎？（OAL嗰啲）",Pm 🙏🏻,3,40,,,,,
UGEA2100Lo kit hung如何？,Workload 細，考試又可用貓紙，想hea就揀啦,A- 盧生有料,Grade 好差+1 正正常常然後C range 講書又悶到爆,1,20,,,,,
一般scholarship幾耐會過錢？,好嘅thx,一個月左右,之前二月中填三月中收到,1,4,,,,,
anyone trans IFAA？,yes，received at 4pm,maths courses taken?,invitation received？,1,5,,,,,
Dean list,我都係busiesstranscript 寫20/21 dean's list 但從來都冇email通知亦冇cert🌚,,,,,,,,3,9
☺️,1.) 香港中文大學final year的學生2.) 雅思8分（寫作8）3.) 有補習IB英文及雅思的經驗提供線上改IELTS essay / online tutoring150 words essay: $35250 words essay: $50,,,,,,,❤️IELTS TUTORING✨,3,1
又係時候拜下GPA God,Thanks GPA god😭,多謝GPA God🙏🙏🙏🙏,Thanks,12,342,,,,,
exchange有冇可能trans 書通credit?,多數唔得 大通就可以,,,,,,,,1,1
有冇人有玩 overwatch,Expired 🫠,Pm,Pm,1,11,,,,,
小弟想問有無人想長做數學補習？,[代Po]係咁的，小弟都係讀緊大學嘅，自己就做數學小組補習，自己都營運左差唔多半年至一年左右啦，類似你係IG睇到果D啦，黎緊想繼續擴大個規模，但奈何自己時間有限，自己一個腳踢所有野唔係好掂，所以就想招一個partner負責教學，小弟想負責營運果part。而家個IG都有超過1200個followers，大約20個學生左右，主要係補高中數學。基本嘅筆記都整左喇，不過當然之後要再整好D。小弟想招一個長期合作嘅partner，就負責教學同教材果D，之後會拆賬咁做，所以係parter制，唔係part-time/full-time制。小弟識唔到身邊有咩熟人想做補習，所以先上黎D forum睇下有無人有興趣，同埋想招一個對教數有興趣嘅，然後數學最好有5*或以上啦，如果真係好有興趣嘅都可以搵我先！我七月前就要搵到個適合嘅partner喇～ 所以有興趣嘅可以pm我有興趣可以經以下途徑pm我～因為係代po，你係forum入面pm，我聯繫唔到你，或者你可以留TG我搵你都可以嘅～Telegram: https://t.me/yonamousThank you了各位巴絲～,,,,,,,,2,1
UGEC2910仲未出grade?,出咗？,仲未,Push,2,4,,,,,
荷蘭exchange Q&A,同屋但獨立房，share廚廁,到時你喺個網就會見到，印象中冇見到c building 幾錢,機票肺炎太貴冇參考價值住宿550eur/mo保險 225eurVisa 192eurMaastricht University會叫你先滙晒咁多個月嘅生活費過去，開咗當地戶口再refund俾你。大概900EUR一個月，已經係打算俾你交埋租所以仲有電滙費。其他旅費就豐儉由人,2,40,,,,,
NA headlist,係，嗰陣我3.87左右,Year 4 can also have?,係咪直接睇GPA？知唔知要大概幾多先有,3,13,,,,,
Uged2921,我都想知,有無人可以講下考試一般會出咩題🥹,B+,1,5,,,,,
有無人take 過UGEC1271 日本流行文化,劉正,想請問大家邊個Professor靚Grade,輕鬆有趣leng grade! 攞A-,6,27,,,,,
補考仲未出grade,未出+1,但係我個科睇咗仲未出😭，係咪send email問Professor好啲？,龜已出,1,5,,,,,
NA 派hall,笑死,Ih單人房細到仆街 冇位行的 一張單人床 + 枱 + 9格階磚咁嘅正位形空位 啲房冇風扇 ih1 2對正藍球場 日撚日有人打波 朝7晚11 Exam period都有人打 全年無休 閂窗都冇用 請三思,有counsellor/醫生證明嘅特別需要,1,8,,,,,
summer exchange,Australia anyone✨,,,,,,,,1,1
Exchange 嘅course fail咗會點,Yes,Math courses係咪都係C- or above 都比tran,有冇可能唔defer?,3,12,,,,,
休閒踩單車,同陌生人踩有咩意思,自己踩都得啦,你就係嗰個女,1,12,,,,,
乒乓球約戰區 （獨孤求敗）￼￼￼,有女？,Hi,Hi,1,5,,,,,
Uk exchange 🇬🇧,Halooo sem1 liverpool,Hiii exchange tg?,,,,1,42,,,
有冇人試過返STEM internship 比人炒咗？,Stem有手有腳就請,不過你識web果邊d野再搵份stem intern都唔難啦怕條撚咩,鬼知點先叫多又話有咩問題就問佢🙄,1,12,,,,,
"收fnsc4150,4101,4102 source",Pm,"如果有呢三科的source/lecture note,麻煩請pm我thx",,,,1,2,,,
大家math1050咩grade,我估同你差唔多grade,final卷total加漏左16分。Cusis未update grade未知,,,,2,21,,,
Formal grade appeal 有咩理由？,想知最後點,慘,放下無謂執著啦,1,10,,,,,
"收fnsc 4150,4101,4102 source",pm,pmpm,push,1,6,,,,,
有無師兄姐分享下自己咩gpa咩hon,做咩咁認真😐,繼續吹First hon mini requirement 都要3.5gpa,過3 first hon?,3,9,,,,,
Change major application 一問,Unofficial就可以,想問下 交Transcript係要專登去cusis apply返一張，定係就咁交unofficial嗰個就可以？,?,3,,,,,,
放A Grade FH source,pm me if interested,,,,,,,,1,1
日文一考試,ok thx ching🙏🏻🙏🏻,利申 正sem 日文一A-日文二A,總之操佢畀嗰份exercise同温熟書就ok la,1,6,,,,,
Fail左ws assembly 後果,係咪會申請唔到書院scholarship?,GEWS1000係assembly,係 但ff唔會書院畢唔到業 大把SU人唔去,3,8,,,,,
Sci fac 癲list,不過年年都有浮動的,都fnsc?,上年3.62 無,1,29,,,,,
求救 想問轉系個到Form Action點解無掣撳￼？,change major 係5號先開始？🤔,佢冇選項俾我揀😢想知係system bug咗定我問題？🙏🏻,,,,1,2,,,
暑宿飯腳,暑宿冇咩人住想識人得閒食吓飯 巴絲都得 利申巴,,,,,,,,1,1
有冇uc女仔派咗伯宿/陳宿想換恆生？,薄酬,tg: shapeofwind,,,,1,3,,,
文學院 dean's list GPA cut-off,咩department,我上年3.58都有,請問樓主係咩department?,2,15,,,,,
__,Pm埋,A grade too 可以pm,Pm,2,4,,,放UGFH Sources,,
chll 2121 仲未出grade？,有人補考，過多一兩日出,我就琴日出左,發生咩事阿，點解仲未有grade嘅？,1,3,,,,,
有無人住暑宿想一齊食飯讀書睇戲！,pm,pm,Pm!,1,9,,,,,
ih想調新宿or hlt🙏🏼,Pushhhh,Pm plsssss🙏🙏🙏🙏,,,,1,2,,,
Arthur logic,Mid term 高過mean少少有A-,以前讀，輕鬆a左,點爛法 利申暑sem讀緊,1,4,,,,,
Na船,NA 有咩scholarship可以apply？,係一定要in先代表有機會攞？唔會直接出results？,自己報,3,15,,,,,
好開心 cgpa終於過3.3,終於過 3.5 (˶‾᷄ ⁻̫ ‾᷅˵),Year 1 sem 2 開始每個sem gpa 3.7?!!,點做到的🥹,2,10,,,,,
__,大伏快走,同問🥲🥲,,,,1,10,［轉科］有冇人成功trans sowk,,
想問PAC dean list year GPA大概要幾多,3.7,,,,,,,,1,1
Dean list係咪只計Year GPA,Thanks🙏🏻,一定要喺cu讀齊兩個sem,exchange都唔得,1,10,,,,,
住hall 一問,prof肯就應該得,其實除咗見counsellor 之外 可唔可以叫prof 寫信嚟薦宿？,,,,1,2,,,
下年na知行想要hehe rm,pm?,pm,未想死住多謝,1,8,,,,,
文學院gpa幾多有dean's list,點做到的🥹,係 year gpa,文學院cgpa 3.76有無機上到dean's list🥺🥺,1,3,,,,,
收UGEA2100 sources,如題thanks,,,,,,,,1,1
賣A garde SOCI source,SOCI 1001 SOCI 2004 SOCI 2104,,,,,,,,1,1
UGEC1271好grdae嗎,最好寫啲佢唔熟既topic,不過呢啲吹水科就算你識寫文都要睇你同佢啱唔啱嘴形,睇動漫唔代表你識寫文😗利申 睇咗唔只十年動漫,1,16,,,,,
UGFN Appeal,好 謝謝你🥹,如果你覺得唔合理再appeal,你係問下點解會拎呢個grade (assignment細分，term paper表現etc) 先,1,6,,,,,
賣A source 出完GPA（有proof),As an evidence🙏,📷,,,,1,9,,,
收 DSME2011 ACCT 2111 MKTG 2010,Pm,請pm,有A range source,1,4,,,,,
UG PASS Leader 一問,唔該🙏,俾狗做,佢係3個鐘preparation+1個鐘lecture+1個鐘session一星期pay 5個鐘 $300,2,20,,,,,
請問UC宿幾點公布結果,如題,,,,,,,,2,
__,搭單問🙏🏻有冇人想要床墊 今晚/聽朝uc交收 免費 開學比返我就得🙏🏻,請問仲招Roommate嗎,入咗宿！,1,5,,,暑宿招roommate（女）～～,,
放全新active korean 1 tb+wb,How much???,hi have pm,Hello still have?,4,,,,,,
☺️,你好呀 我係Ray，yr1,hello,我係nds，想同大家做朋友,3,,,,想搵朋友,,
聽日三點偷跑！！！,推,推,推,3,62,,,,,
Shaw男 想收下年全年宿位,高價收🙏🏻Tg:snowynite,,,,,,,,1,1
Plagiarism 一問,想問最後點,Check 唔到gpt 4,如果直接認左meeting 會問啲咩,2,67,,,,,
Shaw￼暑￼宿招女Roommate,可否send 信封？,有興趣,有意留tg🥹🙏🏻,1,3,,,,,
收math1030 source,pm,pm,"pm, midterm 89, final 94",1,8,,,,,
招數學補習社Partner，自己一個做唔黎,[代Po]已經有大約20個學生，有場地有基本筆記，但實在不能獨自應付全部補習相關的營運，而且將來擴張也不能自己一個人應付。因此想招partner，負責教學和筆記製作等的事務。希望可以招到數學有5或以上 / 數學系 / 工程系，如果有興趣但唔係讀呢D科目都可以！有興趣請pmTelegram: https://t.me/yonamousInstagram: @ghosto0247因為是代po，請不要在下面打pm，我聯繫不了你。如果識有人可能會有興趣嘅話都可以share呢個post比佢睇下，Thanks Thanks,,,,,,,,5,1
幾時出grade,Thxxxxx,official 就6.1,31號下午會偷跑,1,4,,,,,
UGEB2362 有冇source 想要🥺🥺,Pm🙏🏻🙏🏻,Pm🙏🏻,pm,1,9,,,,,
有沒有人玩lol！,ID: SilverLight#6410,add左！,ID:愷潼寶貝世界第一,1,9,,,,,
b,吊 溫唔切,,,,,,,wallace mok mt 係米真係好難？,2,2
__,Wallace Mok is a killer?,大家sem1 Econ 3021 咩grade呀,,,,1,2,ECON 3021 grade,,
__,有啲minor係要讀指定course,Minor唔係得六個course，可以讀其他🤡,咩問題黎 冇得double count咁你要讀兩次同一個course?,3,13,,,一個course嘅credits同時計兩次,,
想問下quit u 要等幾耐先quit到,而家先交表肯定趕唔切啦，邊有可能連quit u咁大件事都做deadline fighter㗎？,Real bro,琴日打電話問佐jupas，佢哋話你要確定你報名嗰一刻就唔係院校嘅學生先得，如果佢哋問到院校嗰邊話你仲係院校嘅學生，就要你提供退學信/證明文件，我覺得既然jupas同院校confirm嘅時候都未完成好成個退學程序，咁都好難會有send到退學證明俾你。我原本都諗住quit u，但係聽到jupas咁樣講，就唔敢去搏，驚到時候冇報到jupas，又冇佐個學位。,2,9,,,,,
STAT2001 lecturer,pm,"A grade source, notes and pp answer, can pm",pm,1,9,,,,,
UGFH1000 劉保禧,咁佢應該係見你上堂咁努力發言可憐你😂😂我之前fn 其他prof都係咁拉😆真心鍾意d計parti計咁重嘅prof,TP 佔40%RJ 兩篇 15%x2=30%,Debate 9% 導修21%,2,5,,,,,
俾人捉plagiarism會點？,冇事🤟🤟🤟,師兄有冇野,正常個prof會通知你先，如果可以由佢解決就唔洗上dcom,3,65,,,,,
放FREN書同CLCP中級書,有意dm,,,,,,,,1,1
FH 劉保,Agree,真心好grade bo,哇我hea做overall b+咗,3,6,,,,,
Fh 要90%先A真唔真,上個sem 81% fn彭金滿A-,B+,我想問下82%左右 fn係咩grade架？,1,7,,,,,
Summer Korea Exchange!!,🙋🏻‍♀️korea summer exchange 雖然唔係去梨花 但可唔可以pm😝,有！！hello,有冇人都喺今個summer去梨花(≧∇≦),1,3,,,,,
語教大kam 撚,好核突呀,,,,,,,,1,1
放math1030 source,pm,pm,,,,1,2,,,
德文一問,我有2手,Sold out,hi still available?,3,14,,,,,
收csci3320 lecture video,"冇, 佢頭9個week教個啲基本上同個網差唔多",But anyone have cuhk video?,thank you ching,2,5,,,,,
US Exchange,有冇人sem1 stony brook?,Pm?,Me,1,13,,,,,
UGEA2100一問（2023暑sem）,係,即係唔使上堂都做到？😹,Discussion forum 黎,1,8,,,,,
幾時出grade,6月1號，不過有機會前一日既下晝已經開始出,,,,,,,,2,1
UGEB2362 and UGEB2364有冇伏？,pm,2364係堂上做online quiz？定係take-home?,2364 hea讀都有A range,1,12,,,,,
收stat2006片,pm,pm,,,,1,11,,,
國宿個冷氣cred機到底喺邊😭,3樓電梯出去都有,地下office隔離,,,,1,2,,,
Mff差一個f,你要唔要試下,Who,任何男子與一名屬精神上無行為能力的人的女子非法性交，即屬犯罪，一經循公訴程序定罪，可處監禁10年。,1,7,,,,,
ugea2190,感謝ching指點,Ohhhh 我見上網係咩課堂小測驗,,,,2,13,,,
有冇人覺得今年宜孫大組長好靚仔？,睇靚仔有錯？,同我個topic 有關？,我點解要補考？,1,24,,,,,
放fh 書$80 上下冊,Push,Push,Push,1,4,,,,,
放 22/8 Lauv standing,自行出價,,,,,,,,1,1
UC雪櫃,Push,有冰格 高度闊度啱啱好 fit雙人房最入中間個位要quit hall 有冇人收🫡價可議,,,,1,2,,,
有冇啲冇實體final嘅course,"唔使department consent, cusis search course 直接去條moodle link enroll",Moodle link係search lang course 個度有,"上 moodle keep reg, 唔係 cusis. Enrol 完cusis無即時record係正常既，係完sem 後先會落cusis course history/transcript",1,14,,,,,
UGEA2100 爛grade,想問多少少,,,,,,,,1,1
有冇part time/ 炒散推薦ಥ_ಥ,60/hr 比狗做,student helper,,,,1,2,,,
求clcp3703 textbook！🙏🏻,想要🙏🏻,pdf要嗎,但之前走左一堂,1,17,,,,,
超平放電飯煲,FORTRESS 豐澤牌 FRC1812F 電飯煲$100用咗1年 well-conditioned可以就地點攞比你,,,,,,,,1,1
GESC2440求組隊,Exploring the night sky 求組隊,,,,,,,,1,1
收csci2100 source，高價,pm,pm,pm,1,5,,,,,
有冇人知KORE3050 幾時oral?,Email 覆咗 27final 28oral 🙌🏻,暑sem韓文 KORE3050 幾時oral? 佢今日上堂show嘅course outline好似係早兩年嘅，我見Blackboard嗰個Oral日期仲係TBC🤔,,,,1,2,,,
崇基CC調宿hall 依家五低想調文質🫨,如果華連有冇興趣？,Up,up,1,4,,,,,
放fh書,Push,Hi 已經pm左你暫時未覆？如果ching唔需要咁我繼續放俾其他人了,冇人仲需要？冇字跡， $100兩本,1,5,,,,,
收ugea2100 source,Pm,都可以,,,,1,6,,,
shaw暑宿招男rm,要個信封 🫡,Dm,dm,1,4,,,,,
SHHO招2023/2024 rm,男會主動入cred，倒垃圾，吸塵大概00:30 - 02:30 訓,,,,,,,,1,1
有冇人今sem讀UGEA2100謝世傑,想問佢20% participation係點計,想問lecturer佢派grade鬆手嗎,珍,1,11,,,,,
__,Hii,pm,Pm,1,11,,,🇮🇹2024 sem2 italy exchange,,
cc換宿 ih換何草附近嘅宿 thanks,男？,,,,,,,,1,1
CC暑宿何宿招女roommate 😆,year 2 fns local 用廣東話英文溝通都可以 唔識國語喔平時1點幾瞓 早啲都可以呀鐘意有私人空間 唔會jam你野！乾淨會吸塵帶人上嚟會事先講聲 希望做rm 之餘可以做朋友啦😆會住AB期 可摺可yo ~,,,,,,,,1,1
有冇人想玩捆綁,有意pm,,,,,,,,1,2
UGED1111 ZHAN Haipeng 伏唔伏,"唔該樓上ching, 想問佢派grade鬆手嗎 thanks !",Btw 上年好似因為咁 班nds想舉報國安法,雖然唔讀過其他uged1111 但我感覺比其他班輕鬆同簡單,2,14,,,,,
CC調宿,CC五低想調文質 pm,"CC 五低 想調新宿 何宿 明華subsidies can be provided, pm thxxx!!",,,,1,2,,,
華連￼調其他宿,Push,,,,,,,,1,1
CC女 IH 調 新宿or五低！,pushpush,有意PM！thank you so much！,,,,1,2,,,
__,一齊去整容,因為出入宿工友會認得你個樣 佢哋通常都直接換面,,,,3,3,Fm好奇一問：啲人賣宿係同買家互換sid 卡？,,
CC派hall苦主區,報特宿啦，年年都留咗位派俾唔夠分嘅人肯報多數有,不過特宿派邊間hall就難講啦,last 可以reg特宿，我見佢張form有呢個option揀,1,5,,,,,
__,最後一年好想住到新宿/何宿🥺😭想傾吓可以PM🙏🏻,,,,,,,CC五低調新宿/何宿,1,1
IH女想換明華 有償 價格pm再傾,如題 價格可以再傾！好想住明華🥹,,,,,,,,1,1
Wys宿有冇人都係冇frd一齊住🤥,利申 男,,,,,,,,1,1
新亞Kam 撚 想知八卦請入.,Hi,Hi,pm,3,182,,,,,
收engg2020 近年source,hi,pm,上個sem讀完，pm傾,1,5,,,,,
咩major易tran入 想轉,Soci,英文系lor,呢個真係水泡泥，年年都勁多人tran入去,1,14,,,,,
__,上面條link係channel嚟,咁有冇tg,我想join,12,89,,,［hehe] 好悶呀⋯⋯有冇人想傾下計，傾咩都得,,
⛹,Pm,pmed check ～,pm,2,61,,,想打排球🏐️,,
pac要幾多gpa先有deanlist？,Thx,唔計,Summer sem唔計？,1,10,,,,,
☠,後,出grade之前定之後問？,唔會，除非email問,2,26,,,UGEDLogic Final死得,,
ugeb2420,有無人知mc大概佔幾分,thx，ching有冇讀過，mc出得難唔難,上lib 會search到past paper有晒 但係MC部份就冇,1,4,,,,,
收Dsme 2021 source,Pm,Pm,Pm,23,,,,,,
☠,grad嘅時候transcript最後會出cgpa同major gpa,因為我唔見unofficial transcript有cgpa 所以先問下,Unofficial transcript 有嘅嘢transcript 都會有 好似係,2,4,,,其實cgpa係咪淨係報船同exchange有用,,
hk radio summer intern,想問有無人都收到interview？,,,,,,,,1,1
想問下ugec2690 exam係咪open notes🙇,邊個講,No,,,,1,2,,,
LLB靚仔靚女？,冇,屌你老豆,屌你老母啦,2,4,,,,,
csci2100 project TAO,你咁搞笑嘅,師兄 分都已經出埋,想問下week11tut講了咩construction algorithm？,1,3,,,,,
求UGEB2650 sources 可交換,pm,Hi 我tg轉左但仲想問d野 pm🙌🏻,pm,1,4,,,,,
UGEB2350 exam,dm plz,dm plz,Dm plzz🙏,2,17,,,,,
爆cred 一問,爆2cred至20,嚟緊year4，想sem1爆cred但係for elective courses而唔係for major or minor requirement，到時應該用乜嘢reason apply?,,,,1,2,,,
差個A-有first hon,你睇清楚啲先,我咪話無咗,"as necessary, but not sufficient 呢句都已經冇左啦",2,21,,,,,
收csci3320同aist4010,can mm can share 🥺🥺,同求，可以用其他cs或stat交換,我有3320,1,12,,,,,
Ugcp1001 考得點,早走+1,早走😎,好on9,1,3,,,,,
有冇人係Ugec2690 🙏🏻,可唔可以pm我 有啲嘢想問下 唔該哂🙇🏻‍♂️,,,,,,,,1,1
CSCI2100 Tao project,係咪要用scratch做？,个output文件會有no嗎,,,,1,2,,,
收ACCT4011 exam sources,上個sem eric 有啲practice question,你有啲咩？邊個professor ?🤔,要咩sources?,1,5,,,,,
Sci faculty GPA幾多先有dean list,Dean list唔計暑semCgpa梗係計😂,路過 想問唔計暑sem姐係點？暑sem 讀uge course唔計落cgpa？thanks🙏🏻🙏🏻,,,,1,7,,,
__,請留tg🙏🏼,,,,,,,收和聲女宿🙏🏼,1,1
shaw drame「待」有無人睇過?,5該晒，其實前面還好，但最後有段個啊伯後生同人傾訴個段5太清楚,,,,,,,,1,6
[歡迎fmbb] CU hehe tg group招新,Pm,Pm,Pmmmmm,2,282,,,,,
chatgpt vs veriguide,Pm?,請chatgpt不如請我,push,2,5,,,,,
好想發癲,佢好認真,我琴日同男朋友講我上網放負，之後佢上黎我屋企同我理論,屌你老母,1,32,,,,,
衛生署intern,請問有冇人收到interview / in過？,有冇人in過？,,,,2,2,,,
[伏味濃] GEUC2017紅酒,咁伏😱仲唸住下年reg添,1cred嘅科又要俾$300仲要自己買2個佢Standard嘅杯無買就每堂俾$30租2個杯但每枝酒淨係飲得嗰少少一堂4杯 多一舊仔野食咁大把Helper倒多左少少佢就好似無左忽肉咁叫停人又計attendance 又有Present 又有Individual essay仲有個濕鳩test講到個test好容易但上得嗰幾堂就要你一飲就認到隻酒係咩提子整嘅呢科幾出色,,,,2,2,,,
有冇代做Ugea2100 report?,Rubbish,上個sem代做過，pm,Pm me,1,3,,,,,
有冇人知HSBC sowkscholarship 結果幾時出,lm問hsbc hk scholarship,,,,,,,,1,1
大中二grade,有，我就係咁 但可能exam考得好？ A-左,好似3 4 3,可能lecturer問題🥲,1,13,,,,,
Math1050派grade cutoff一問,"今個sem math1050 mt mean得52分, 覺得呢個sem mt同final難度都同往年相約, 想知 Dr. Fong 派grade大約係點，唔該Ching","明白，但做個參考都好既. Fyi, 上個sem math1010/1030 mt mean 都係6x%,  上個SEM80頭A-, 80尾攞A 想問往年Math1050攞A range數據如何？",,,,1,5,,,
☠,希望佢派GRADE鬆手啦,最後一題？因為無咩陷阱(?),我反而覺得ratio 難,1,10,,,Acct2111 final,,
Shaw買宿,價錢可議,,,,,,,,1,1
UGCP1002 Pass,想問下國安Course係咪Exam加埋Assignment過50%就Pass？,,,,,,,,1,1
UGEB2362 nutrition幾多分先有A-?,我之前miss咗你嘅pm，我嗰年overall <90% 都有A,pm,Okk,1,14,,,,,
Cambridge (summer sem)?,利申 攞親都A-，好少A🥲,Sci major嗰啲要天才先有可能,個個major都可以。,4,20,,,,,
知唔知點reg 23-24 ihouse?,跟你自己本身college hall applicationOption 入邊應該有得揀ihouse,,,,,,,,1,1
shaw scholarship,26號派咗,有冇人收到？,好 thx 🙏,3,44,,,,,
dsme1021,有source 有意pm,,,,,,,,1,1
有無人知exchange scholarship結果幾時公佈,2,1,我都想知,1,4,,,,,
DH summer intern 2023,push,想問下有冇人in過衛生署嘅intern？有冇人收到interview通知？,,,,1,2,,,
Big 4 同 bank summer intern 交流區,聽人講好似已經call佐？,想問ccba有冇updates after grp in/有收到hr call after grp in🙏🏻🙏🏻,ey audit有無人收到offer?,15,88,,,,,
肥Medf1012使唔使supple?,要,,,,,,,,1,1
fail咗GEWS1000,唔會 no one cares,去咗f2f assembly 但係唔記得咗睇條online assembly嘅片係咪會fail咗個course?😿Email咗office但係佢地話唔接受late submission🙏🏻如果真係fail咗嘅話應該點做？🙏🏻(聽講好似pass唔到依個course 會grad唔到？🥲Thank you!,,,,1,2,,,
文物館summer intern interview,你係咩major？🥲係咪唔係文學院,🥲,yr 3 liu,4,12,,,,,
想搵女仔五月尾一齊去西班牙🦷,push,三缺一！有意dm✨,,,,1,2,,,
急收dsme2021 william source,pm,pm,pm,1,46,,,,,
讀唔掂DSME2021 喊咗,pm,Pm,Pm,2,122,,,,,
有冇人￼台灣exchange...,Pm,sem 2 台大🙌🏻,Sem 1 台大 the same!,1,17,,,,,
有冇人2324 去finland exchange?!!,Sor miss jor 😂,Pm,想問accept完cusis offer之後係要等uni嘅email?,1,12,,,,,
