参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
Pathway1,pathway^2,qfin直入嘅話就算冇m1/m2都會係pathway2 不過喺1012 因為sbm有4個course係比bba讀 咁Bsc嗰d就pathway2 year one 讀晒所有 sbm required course剩低嗰啲bba course pathway 就 year 2 fall 先讀 因為嗰啲Bsc唔使讀,Lol 其實qfin唔洗讀m12 有機會喺pathway1見到,2,67,,,,,
男女朋友同一個school但唔同major會唔會好d?,可以叫佢幫你補下中文。,有時懷疑其實佢係咪想收補習學生，想追我係我幻覺,笑死追僅我條右都係咁，係咪blk得,2,114,,,,,
收math 2411 source,Pm,Pm,Pm,27,,,,,,
Civil and CS,intern 1日1000機會更低,頂 分唔到真假,but 俊和點都唔會開100 la仲要落site,10,39,,,,,
Engine major gpa?,上年冇dsct+AI,收埋 +AI 3. 0? 😳,3,7,51,,,,,
Intern嘅定義,見親employment period 59 日就知道比低過最低工資,59，第60日開始最低工資,經驗學習僱員(實習) 香港法例好似可以60日唔出糧,1,6,,,,,
養貓嘅 要小心d先入來,有冇人同跟我一樣睇第一行就已經 唉,📷,,,,1,2,,,
Pathway2 真係爛grade到傻,如果無你哋呢啲垃圾我哋pathway2嘅點拉分,我M1喔...,其實邊個pathway咪又係一樣，個個pathway都有勁人有廢人，個個pathway 都有靚 grade prof同 killer la,3,25,,,,,
有冇人試過appeal labu grading,有冇變好grade嘅,😵,,,,1,5,,,
2.5幾入唔入到civil,Best24 2.7 有機,4.3 minimum,2.3都入到,2,4,,,,,
喺科大四年應該要同幾多個喺科大入面識嘅異性發生過性行為？,是A也是0 是A0 也是單身入ust 預咗hehe渡過這四年,小妹係0,Push,2,42,,,,,
認真討論，Ust grading 制度點改最好？,唔會但班膠層......,咁如果改first hon可以自由選擇2個pathway (cga >3.7 or cga>3.4+mcga>3.7 ) 又會唔會太崩壞？,個人覺得易咗😂😂,2,90,,,,,
__,Summer sem?,push,pm,1,4,,,有無人hall4想part情侶房,,
__,Sell ma,我放hall4男 有意請pm,放 hall 5 male pm thanks,1,106,,,我想問有冇得買hall位,,
Apartment renting~,"Vega suite renting 6.15-6.30 , 2 people sea view room, fully furnished, kitchen wares available, 400 hkd/day, pm if needed.",,,,,,,,1,2
HUMA1000D Eugene Li 爛grade,HUMA1000派grade由prof決定,Core 1632 75% C,做哂🫠🫠 discussion 每次起嗎3次以上,1,15,,,,,
入Busi Major詢問GPA集中區,maec,.,推,1,20,,,,,
Best 24 3.3 COMP/CPEG?,Lowest 3.62,應該3.65+,上年要幾多,3,47,,,,,
Core1404出grade,cls,dse 5** writing B,Writing 5* C...,3,13,,,,,
MATH 2111 source,Pm,Pm,Pm,2,70,,,,,
Art common core very bad grade,"讀 core 1632 得C, final 2 hours with essay lo",,,,,,,,1,
入Engine Major詢問GPA集中區,推,資料來源：https://goop.ai/topic/6VOf/Civil-and-CS?ref=goopapp,📷,1,16,,,,,
cga過3.7同dse 三十分邊個難？,Best幾先,Asso 3.7 好易,Dse 20分入嚟輕鬆Dean list,2,9,,,,,
additional major,有冇study plan睇下,me sbm double math,me,2,62,,,,,
每日一拜￼爆四God,拜,Really need the A,拜啊拜啊,6,705,,,,,
cs vs cpeg,Math/M2/Phy 要有5**,珍，中大數學/物理精研 收生講緊best 5 起碼28/9,數學物理而家仲封緊神。chinU 直入math/phy都要三十幾分。不過中間quit嘅人太多。,12,56,,,,,
Isom2500 lucy,91.9% A+ here,wtf我92.6 A+,我88.96% 都係A- wtf,1,8,,,,,
math2011定2351易讀？,1014 b,真心 fall冇認真讀都a-,輕鬆a+,1,9,,,,,
yr 1 求問sbm cga 幾多算好？￼,冇link,2020-2021 sbm mse stat,有冇link,2,25,,,,,
cpeg >>>comp,閱○,cpeg yyds,,,,9,40,,,
Asso 易啲入CS定Engine 易啲入CS?,咁又未必，中英文兩科全部拎2就入唔到，有個中學frd就係咁,老實講你入來都係墊屍底 等被quitu你都係左轉唔好影衰我哋啦,數學+electives都有星仲洗鬼asso,2,47,,,,,
想知有無人試過trans major去cpeg，要GPA幾多,3.8,,,,,,,,1,1
Core 1403超靚,sdl一半冇做都A,V2 全Exceptional/advanced 攞B+🤬,比1402靚咁多，睇嚟真係睇tutor,1,7,,,,,
GPA 2.9係咪冇機會CS,civil要3.4左右，僅次於cs,上年best24 2.9 入唔到civil,因為請人省好多錢，可以用成本搞個interview,3,55,,,,,
comp2011 出grade,記得好似仲有其他n展major 2011都係require course,小妹final 10分竟然F咗 屌,曾經g嘅我發誓以後唔要食F。,1,72,,,,,
asso入cs果d入一入來,等我可以刷多啲A+,很好，記得叫埋你asso嘅所有friend入嚟,你哋Jupas仔yr1日日摺liba 我求其都入到,1,12,,,,,
有冇深夜心事台,拉。🤡,拉。🤭,Lxxxx對住佢係精蟲。,2,17,,,,,
Best 24 3.46 係咪無機會入CS,上年3.55入到wor,超多,Only cpeg no cs,2,24,,,,,
2410我咁認真讀都只得D grade,Mt 幾多,考試前先溫都有b+,呢科算係其中一科最簡單直接，有溫就B range,1,6,,,,,
出左grade之後會唔會再改,會,只會降不會升,bien,3,9,,,,,
mgmt2110 L7 期終試試後討論區,呢個就係問題分都唔出學生點知考成點？畀grade合唔合理?,冇人話一定要卑任何一個分學生,其實好正常，好多course都係,1,10,,,,,
幫finaboy揀second major,已drop fina 🤘🏼,fina median都30k啦,好大仇口😂,2,61,,,,,
放Mgmt1110 source,Pm how much,Pm,Pm,1,29,,,,,
__,有3.9報HKSAR仲好，冇咁多手尾跟,:(,我3.9 無social service 都唔得,1,5,,,DH Chen Scholarship,,
ISOM3260 出grade,Agree,算靚,,,,2,,,,
"如果本身想讀cs / cpeg但最終入唔到,  你會?",入asso 。,低分入cpeg 而家就jump,Math  應該好grade過comp少少,3,45,,,,,
CPEG 3.1875有無機,Last year b24 3.4穩入,please take EE courses to get better grades,唔好諗唔開,1,10,,,,,
huma1000d 爛龜,齋上workshop無上堂 A咗 樓主建議反省下,huma有主觀成分，想高分的話，建議無腦跟instructor嗰個思路,hkust student黎,2,29,,,,,
幾多%人今個sem有dean's list？,Push,見之前有人問就整個polling統計下,,,,2,2,,,
MARK2120 Amy Grade,大家咩分/grade？,,,,,,,,2,1
Best24 3.75入唔入到CS,上年b24 0.6 走後門入到,上年b24 4.31入唔到,上年b24 4.3 入唔到,1,18,,,,,
Cpeg gpa 係咪3.2？,3.6,你 GPA得2.8 但你b24 有3.4 up 照入,b24 3.4 up,1,8,,,,,
不必多說 我知你經過甚麼事,坐板凳唔計拉。🤡,你唔係淨係坐凳仔咩🤡,冰個🐢椰@@,1,15,,,,,
__,我都打錯咗，MCGA>3，亦識人3.0X都入到，睇運氣,我B+ MCGA 3.2X入,60% 睇你嗰年cutoff,1,9,,,fina2303唔到A range仲想拣fina应该点做,,
Marketing 2120 wenbo grade,Really trash,Dnlm quiz above mean dou C+,你哋咩grade啊🥲🥹,1,41,,,,,
想知2411ycw 今個sem 點派grade,咁唔出奇,full,Btw assignment 92 100 100 88,1,19,,,,,
Mkss exco熱烈恭賀林作被炒,拉爆,不高。還有進步空間,你生物智慧真心高。,5,24,,,,,
exchange一問,thx!!,得,係咪剩係擺2個choice都得 唔想佢派其他比我搞到要reject,1,3,,,,,
熱烈恭賀後場冇腦麥麥送,。,你非洲酋長。,小妹非。,1,24,,,,,
What CGA needed for GBus?,Big boobs + big butt + good face,Directly can,Have daddy no need marks,2,13,,,,,
broadbase入ddp要求,At least 3.5,Cga 3.3有冇得in,重interview,2,12,,,,,
swap hall,Female hall 4 swap to hall 789 with pay,Full year female hall4 swap to hall 6 with pay,still allowed this yr？Anyone got approval？,1,3,,,,,
hall 3 part情侶房,都幾。,ho siu?,有意做你情人？,1,4,,,,,
Econ 2123 ding fei 幾時出分,好grade,出咗grade ..,g,1,3,,,,,
暑sem住hall會有roommate?,No,如果本身rm走咗,,,,1,2,,,
ECON2123 wenwen 咩分咩grade?,Below mean = C 我試過,一樣,Midterm Final >90 finally A+,1,4,,,,,
收今個sem CIVL5430 notes,civil,envr course?,pm,1,6,,,,,
fina mse,邊一年,一般情況B+ 應該夠，係有年個curve勁高 LQ A-,我嗰年curve高就冇聽過b+入到 正常其實夠入,1,10,,,,,
入CS/CPEG/EE 詢問GPA集中區,Push,Push,Later need to blur personal information and having intern now,3,111,,,,,
Phys3142 平均分有冇咁誇。。。,Oh ic thxxxxx,要直接email TA,應該勁多人滿分😌😵Btw 邊度有得睇Final project分?,2,4,,,,,
其實寧願OT都唔比野intern做係咩心態,i see 原來係咁,唔知你幾時開始返工，但是我之前份intern都等左成個星期先set好電腦有野做,所以先暫時無野做,1,25,,,,,
__,今年有冇可能跌返,ching 2018年啊,原來b24 3.11就入到cs,9,9,,,Cs major cga&best24,,
要mse但未派晒grade,Dklm 快啲啦,,,,,,,,1,1
acct4610 grade,咁似乎是看final,係要highlight定揀重點來抄 😉,😂都唔係照抄嘅 抄曬會冇時間,1,17,,,,,
成個course最低分會唔會fail,Wt course,Yes,required course？,2,21,,,,,
Yr1 N展仔入，大家best24幾多,今年條curve高咗,。,唉咁我收收皮先,3,20,,,,,
dsct勁過cs?,其他U大部分都係data science 行先。揀唔到先揀CS。UST dsct學生要比Math Department軍訓，一路比人當垃圾。如果將dsct脫離math Department果邊會好好多。,冇，差唔多過3就得。,cs不嬲overrated,1,6,,,,,
3.5 入唔入到cs,3.8 入到,利申cs grad,其實cs無想像中咁好咪又係it9,1,27,,,,,
有冇人yr1 sem1得  3.4最後入到cs?,我入咗,第一個sem讀cs 讀到覺得科科都會炒是咪正常。。。,同cs差唔多，20k左右,3,30,,,,,
CS/CPEG報分區,3.6入咗cs,Ee,咁我入ece 係ee 定cpeg,2,30,,,,,
1013 F兩次會唔會dismiss,Academic regulation 本來就寫兩次,咩情況下，兩次就踢,有d 2次都踢 3次係人情,2,105,,,,,
成個course最低分攞C-係咪已經要偷笑,Last sem?,Have grade la meh???,Total how many?,1,30,,,,,
__,以為乜撚嘢，原來係舊po,3.7穩入,,,,3,134,Best24 3.55 有幾大嘅可能性入到CS,,
Best24 3.15入唔入得CS?,以為乜撚嘢，原來係舊po,哥布猜那屎德地 世一,米就係。,1,18,,,,,
買男hall,want hall7,pm,hi,1,4,,,,,
有無人試過集齊A+~F,"差A+,A,B+ 未攞",F至B都有,A+ A A- B+ B- C+ 都有,2,68,,,,,
男士入一入嚟,聯校非牟利組織大學/大專想識人就禁入我哋link睇吓🧝🏻‍♀️,禾刀出去。,咁禾出返去囉。,1,16,,,,,
lang 3024 幾多分先有a range 🥸,咁B+ leh 🥲🥲🥲🥲,～90%,,,,1,2,,,
我果然係因為科大，所以先會陽萎,還返條女比人啦,𠃊 𠃊 𠃊,𠃊,1,8,,,,,
［突發］FINA Exco 用 $5000 去台北,錯別字造成不便請見諒。,收返你個貓頭入包皮先。,應該係,4,314,,,,,
科大最chur 科,Taught master靚grade，假如你當初入到qfin哪怕BB 班都搞唔掂，勁人太多,Mphil? Taught master都還好,Qfin 嘅 mathematical finance 只係BB 班嚟 利申Financial Math master,1,76,,,,,
想問Phys3036幾多分fail,聽講同3037一齊拉curve 所以分拉高d計 我覺得好慘 但經問過幾個prof先知咩grade原來可以好睇人 問過有同一科因為換咗prof 話就算個位數都唔會f人  除非0分 只要正常mt final有黎 我問點解：因為唔想f學生,佢派c range嘅分低過3033算係好人過德國佬ಥ_ಥ,點做到….,2,10,,,,,
1Q題: 林作被炒（估一詞語）,🤡,佢真係抵死,😭😭😭,2,9,,,,,
__,小朋友 你真係唔識架窩… 識個math major 做緊ibank trader😂,cls qfin🙇🏻‍♂️🙇🏻‍♂️ 想俾屌,小妹濕曬,5,625,,,marketing算唔算水？,,
Doublemajor vs sbm additional,原來係咁,"Cert 冇唔同Major 同Additional major 先係官方叫法, double major 唔係官方叫法",Double major = 有兩個major Additional major = 第二個major 嘅官方名稱,2,8,,,,,
收男hall位,hi,有意pm plz,,,,1,2,,,
木,開咗但推唔到上嚟,.,是,1,7,,,,,
日,.,有一天，太陽覺得自己每天都在辛勤工作，總該得到一些獎勵吧。於是，他去找月亮說：“你知道嗎？我每天都在照耀大地，讓萬物生長，真的非常辛苦。我想要得到一些獎勵，你有什麼好辦法嗎？”月亮聽了之後，想了想，然後說：“好吧，我有一個好主意。你可以讓地球上的人們每年都慶祝你的生日，這樣他們就會感謝你的辛勤工作了！”太陽聽了之後，非常高興，於是他決定每年的某一天，就是他的生日，讓全世界的人都來慶祝他的誕生。從此，每年的某一天，全世界的人都在慶祝太陽的生日，這一天就是“太陽日”！,智慧,1,4,,,,,
今年4仔搞乜😅,然後到fall sem「正式回歸」,爛龜😭,斬龜🤭,1,5,,,,,
swap hall小弟請教,"so we first both write email to ughousing, they will notify us and our original roommates, and all of us agree would be ok?",,,,,,,,1,1
__,你哋智慧真心🔝,🕯️,🕯️🕯️🕯️🕯️,7,84,,,不解釋,,
__️,🕯️🕯️🕯️,不解釋,不解釋,2,4,,,,,
曾經g嘅我發誓要做齊大學5件事,上莊智慧真心高。,講咗好多次你自問自身唔夠好就上莊識人上完莊拎source輕鬆功課測驗高分同埋好多人靠上上上莊幫自己入公司，識幾個都係上上上莊開startupIn都唔洗in就即請做intern,冇上莊真係會後悔一世,1,20,,,,,
點解科大咁多痴線佬,嶄越永遠最強！,Harry Lau?,g,3,6,,,,,
Doj被nom嘅大家有冇update？,Any updates?,"我都有nom, 但未收到消息, can pm?","我都有nom, 但未收到消息, can pm?",2,8,,,,,
Hall 5 male swap 單人房,with pay,Push,如題 or any other🙏🏻,1,3,,,,,
ISOM2500 Jason Ho,,,,,,,,,,
想買Hall I,有意放嘅dm 女的,,,,,,,,1,1
Harry Lau Hall4 ex莊員,佢自私係真嘅,Lol,Hi harry,1,9,,,,,
有冇人做過flexilearnasia呢間startup,通常呢啲先學得多野因為佢地好多野未搞好，會有機會俾你落手參與,Online咩都搵唔到 有啲擔心…,,,,1,2,,,
Room Swap: Hall V Male to any,PM me,,,,,,,,1,1
Swap hall,Hall4 male swap hall 6 with pay,Hall4 female swap hall 6/7/8 with pay,hall 4 ok?,1,15,,,,,
收男hall,有冇人男 hall4 換 hall 6?,push,pm,1,10,,,,,
hall3 情侶房,Hi,有意pm,,,,1,2,,,
How to swap hall? Just email?,Push,How to swap hall? Just both of us email them??,,,,3,2,,,
其實有冇得買hall位？,有嘅話要個waitlist system做咩,"想知其實如果有人想reject, 有冇得買佢手上嘅hall位？",,,,1,2,,,
henan summer camp,塔溝？,g,anyone want to try? Free of charge,1,3,,,,,
Hall swapping,Hall 5 male swap to any hall,,,,,,,,1,1
"Hall 4 swap 1,6",Male der,If can pm thx,,,,1,2,,,
關於hall acceptance一問,"Email佢問咪得lor, 咁簡單都要問goop",g,手快揿走咗個hall acceptance唔記得cap圖 想問邊到可以睇返hall啲資料🥲,1,3,,,,,
Atrium鯨魚會唔會考慮搬去都大擺,g,🥺🥺🥺,考完試通常會出封咁嘅嘢只不過啱啱好撞正有人跳樓,4,24,,,,,
畢業喇,g,你ot完未。,佢重度來體諒下。,1,21,,,,,
HUMA2330/ CORE2606 grade,g,F,大家咩grade!!,1,3,,,,,
成日騎劫人地啲post嗰幾個麻煩入一入黎,g,我airpod pro 2,我airbnb,2,19,,,,,
睇下圖領略詐騙技巧,g,no nah,sent an image,1,11,,,,,
Exchange choices 調查,g,up,有冇人去西班牙IE？,1,22,,,,,
Fina4303出分,g,,,,,,,,1,1
acct2200 emily 分未出個page無咗係咩事,g,我上年問過TA，佢俾咗Total我,有冇人試過email問佢分？,1,10,,,,,
fina4423 grade,g,A+,明明4413有a,1,5,,,,,
CORE2571/HUMA2840 出grade,g,呢科有咩做 下個sem想信佛,,,,4,11,,,
Math3322 真係好有問題,g,算啦讀得呢科9成dsct 啦，只可以話本身揀呢科就中哂伏rip,今年唔同往年,2,11,,,,,
有offer 嘅sbm fg人工幾多？,g,兒子 200k/month,😂,2,19,,,,,
邊度有2022 salary report?,g,淨係見到2021👀,,,,1,2,,,
有冇人6月7-21係日本，一齊玩吓,g,呀~~~~死黑驚 又唔做野 又唔讀書 呀~~~,721警黑合作,2,7,,,,,
Hall6 free stuff in common 602,g,有好q嘅擺件希望有人可以幫手adopt埋🥹唔捨得但係拎返屋企會比人dum曬,幫手推下比hall6嘅人 唔想比清走 好多都好新淨,1,8,,,,,
Pulse Secure 用唔用到,g,係咁show connected但個public ip無轉,,,,1,2,,,
comp2711報分,g,D- F,Mean 幾多,1,6,,,,,
where is my hall..,g,where is shrlo,,,,2,2,,,
3203 Ji Yan C range,g,yes recording,need present?,2,51,,,,,
Math2411 派grade,g,81 有A- 意外leng grade,大家點樣,1,3,,,,,
Acct 2200 xinlei final分,g,大家考成點？,,,,1,3,,,
收civl2410 EIA report,g,pm,"收noise report+1,有意pm",1,6,,,,,
識朋友約食飯,Link expired please send again,g,歡迎,1,31,,,,,
收CIVL2410 Noise,g,pm,Ok,1,5,,,,,
isom4400,g,有無人take過isom4400(fyp) 體驗如何,,,,1,2,,,
科大爛grade又一證明,g,B-係Mean都叫正常呀但一到C Range又唔係Absolute Grade就唔係噉講啦,"冇B, 得B-",1,8,,,,,
有冇人考過CFA ESG Investing cert,g,Thanks,想先了解下個content 先决定報唔報,2,7,,,,,
Sosc 2290 出咗grade,g,同埋average 係幾多？,想知大家係咩Grade,1,3,,,,,
engine 各個major gpa？,g,mech 4.0,,,,3,22,,,
放fina 2303 test bank,g,"have testbank included all chapters with ans and steps, solution manuals with steps for textbook q and asm, ebook, instructor's manuals, quizzes with ans, iprs with ans, tutorial with ans, past exam paper with ans",I have source,1,11,,,,,
COMP3111 grade,g,仲未有,又話星期二assign letter grade到依家都無,1,3,,,,,
__,g,100/100+96/100 A+,大家考成點？😂,3,,,,Comp1022p,,
sosc2130/core2730 出龜,g,A- only,,,,1,7,,,
Academic warning,g,好的好的 thankq🫶,"可以唔見counselor,你自己揀利申：收過兩次warning",1,10,,,,,
要grad 喇，好羨慕其他U話大學係佢地最開心嘅時間,g,agger,真係好彩冇上莊。有個中同dse好高分，上莊之後on on 99咁，最尾爛曬grade,4,14,,,,,
Business school acct+is,g,Acct u can choose pathway 4,pushhh,1,5,,,,,
預計second low畢業,g,現在，解決乜撚嘢的問題，是非常非常重要的。 所以，我這幾天一直在思索這個問題，而這些並不是完全重要，更加重要的問題是，我們不得不面對一個非常尷尬的事實，那就是，既然是這樣，非洲有一句座右銘，最靈繁的人也看不見自己的背脊。這讓我思索了許久，克勞斯·莫瑟爵士曾經說過這麼一句話，教育需要花費錢，而無知也是一樣。這不禁令我深思。生活中，若乜撚嘢出現了，我們就不得不考慮它出現了的事實。,賭錢好過，一下子由3萬變成100萬唔係問題,3,34,,,,,
isom3010 又話有peer evaluation?,g,12:00 section 好似L2,你L幾？,1,4,,,,,
畢業袍團購,g,pm,agger,2,42,,,,,
你由入大學到而家有冇擁有過任何蘋果嘅電子產品？,👍🏻,g,Linux or macos Never window,1,196,,,,,
做咩唔比我刷分！,g,多謝樓豬令我有刷上40K嘅動力,"Dse bb 聽我一言想揀大學一定要揀一間男女比例一樣、靠山面海、有強大科研實力既大學，冇錯，就係香港科技大學你可能就話：ust 既收分不如其他二大，會唔會代表渣d , 冇人想讀？其實唔係！只係Ust 宅心仁厚，唔會一味一場meritocracy, 例如佢既工學院收生數量係亞洲最多既其中一間，所以個收生range 比較大",1,159,,,,,
