参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
有人drop過LC course嗎？,換左個新head 就算好strong理由 都drop唔到,其實應該超級難，因為LC嘅course多數喺syllabus度已經講明咗係唔畀人late drop，我諗除非你有好strong嘅reason如果唔係嘅話應該唔會成功,没有,1,4,,,,,
☠,Me b+,Oral炒左都有A-,還好啦,3,53,,,Ms3111 Vba定Lc 2930 Japanese 1好,,
究竟有冇科已經出左grade,佢話16放你預18-19啦,冇,,,,1,2,,,
Degree work,You need bear king,Ohno,Last audit today都係冇出🫡,2,13,,,,,
Final year 好驚F咗…,工科必經壓力之一,Me too...,Exam唔識做~,3,5,,,,,
__,咩科？,突發！！,fake,2,12,,,【突發14/5】CB出緊GRADE,,
cb3800 有冇人有offer？,依加返緊第二份intern 但又話6月5號開工 到依加都未簽約 又未同學校講請我 但22-24號已經要reg workshop 都唔知辭職好定等第二輪offer,今日收到中信銀行口頭offer 但係打算去中資ibank ficc而拒絕左,"有間公司話請, 俾咗id card 佢, 又話遲d簽contract, 但又未同學校講話請我. 係咪應該等第二輪？",3,,,,,,
有冇人想參加 HKCGI嘅Paper Competition,唔搵啦，thanks🙈🙏,封,之前個個過期了🥲🥲,1,17,,,,,
Residence Application Result,Hall 10,,,,,,,,1,1
得罪講句 城大campus都幾惡劣,認同,就遲到嘅時候跑少兩步,佢廢,3,23,,,,,
Exchange,Coming Saturday France,June,July?,1,14,,,,,
__,搵好Professor？,大家做成點,,,,2,2,cs fyp,,
Sem A Stem 出左錢未,Idk,唔係April ?,Up,1,5,,,,,
Lc2930 容唔容易￼b or b+,Learn bear technique,Umm還好 唔太難嘅,Hii,1,4,,,,,
MA1006 final分,midterm幾多？,67,Mean 59 係代表CB calculus 一般般MA1200 的人做應mean 8xUST busi calculus 都要玩shell method 嗰d,1,18,,,,,
Law school 有冇玩得嘅人,邊架飛機,??,點玩都得？,1,13,,,,,
今日city好多靚yr4姐姐,!,臭雞,Why so cheap,1,24,,,,,
commencement唔記得登記guests info,No,no,如果填咗去 但去唔到 會唔會照virtual形式架？,1,25,,,,,
GE2410 Grade,Hi,Bear grade,Ok,1,8,,,,,
IMF Fund Challenge  有冇人想join,Pm,活動6-8月，8月尾present case study,,,,1,2,,,
Printing quota 幾時到期🙏,Bear printer,printing quote 會過期？,星期六圖書館開唔開？,2,6,,,,,
幫手訂75折機票,Fubd,Bear ticket,你下次訂 留500訂試吓先都可以,2,8,,,,,
政府summer intern 一問,Ok,咩職位？,已收offer,1,10,,,,,
GE2311 re-examined,"做paper太professional, 用Grammarly當plagiarism",你幾時drop?,有無人可以share 下發生咩事p.s. late drop 咗個course,12,,,,,,
入Gym room一問,$3/h,1. 要於sfbi 網 book2. 唔界3.yes4.walkin 只可以每小時15mins後有餘位先可以,"1. 使唔使book/嘟卡？2. 未上過儀器堂畀唔畀入？3. If yes, 上咗康文署嗰堂可唔可以當上咗儀器堂？4. 可唔可以walkin?Thx a lot!",1,3,,,,,
可唔可以walkin 入學校影相,https://www.cityu.edu.hk/bg/zh-hk/visit/book-a-visit,link?,比身分證登記就ok,2,10,,,,,
高價收CB2200 PP 23 semB,This sem??,Pm,Pm me $10 pp,1,5,,,,,
我這樣討厭,係味要聲帶切除盡快處理～🎵,澤囝上身,笑死,1,7,,,,,
讀緊environment science 想tran科,DS,ES應該幾好出路,estar,1,5,,,,,
Shinewing intern interview,做其他都唔好做屎wing,"已經收到offer, 但唔知係咪食n手飯",早兩個禮拜收到電話 但有其他offer reject左,1,5,,,,,
有冇人報左set sail for GBA program？,ching邊間公司嘅offer？,啱啱收到， 但香港有intern請左，應該去唔到,no offer,1,16,,,,,
5月12 4:30 commencement 放￼飛,搵arro免費啦,傻仔,1000蚊搵鬼都唔撚睬你啦,1,5,,,,,
MS3111 overall咩分,Bear score,你overall?,+/- 5%掛,2,4,,,,,
Commencement recording,Thanksss,如果跟上年就會8月俾條link你download,無,2,5,,,,,
Recruit MKT Intern,你都冇inbox…..,八成傳銷。問佢嘢 答果D全部廢話,唔係傳銷….MKT Consultant firm,1,5,,,,,
［突發］CB出grade一事,突發！！,突發你老豆,突發你老母☺️,2,5,,,,,
GE2402派分一問,你又知？,一班派3個A？,好正，之前個session有三個Arange,3,50,,,,,
畢業禮啲位有無啟示,冇傷咗坐前面其他跟姓,How come finish the marking so quickly,唔關，只係跟姓氏排,4,,,,,,
今日畢業典禮係咪有人試咗可以帶朋友入學校影相？,係如果有位,walkin guest紙係咪可以入hall,,,,3,12,,,
有冇人都係今年HA Finance intern?,Ching 係same no news 定係same 去head office 🥺,Same,Same,2,6,,,,,
Cityu hunter 求組隊,呢個,https://cap.cityu.edu.hk/studentlan/postMobile.aspx?id=U11s0420n230505X333805,what’s that lol,2,8,,,,,
收printing quota [ac1 liab],話人呃錢 然後叫人買你quota?,On9,Pm,3,43,,,,,
畢業先嚟落雨,咁我哋仲係算細嗰,仲細咩，中學生呀不嬲都黑雨先取消,紅雨繼續 黑先改期,1,6,,,,,
仆街以為CB 2240晏晝先考，依家可以點？,TA仲鬆手啊,鬆分俾你等於對其他人唔公平,同埋多數來講Prof 都專重TA的改分一般來講「全部人同一評分標準」,2,35,,,,,
Final year 求情信一問,Defer,唔好 唔想,讀多年咪幾好,4,28,,,,,
依家CCIV係唔係無左group project?,Protect hk,This law is good,But national security law next year,1,7,,,,,
有無final yr巴絲想一起去玩去grad trip,你有興趣不如pm我？🤔,如果係就快 要book機票酒店 唔係就會貴,之前同佢傾過，好戇鳩,1,23,,,,,
sdsc2004好易,3007 教啲嘢 簡單嘢3002 係 final 難啲4019 今年冇開喎,"3,001,300,241,074,010",有人覺得易有人覺得難啦但係比較靚grade係真,1,5,,,,,
有冇人收到is department email,個個有，有乜出奇,Gogogo,應該係,5,,,,,,
放 3430 pp,This fake,放 1. 2021/22 SemB mock paper with answers2. 2021/22 SemB exam answershttps://t.me/sloth02,,,,1,2,,,
IS2022出左coursework grade,Same,indi A+ pj A,Both A,3,4,,,,,
收cb2601 sources,Pm,Pm,Pm,1,6,,,,,
放IS3430 $20,pm,Pm,pm,1,10,,,,,
其實其他U有冇cheat sheet,cu business 好多open book考,冇 made in cityu,有,1,4,,,,,
平放IS3430PP,pm,pm,放 1. 2021/22 SemB mock paper with answers2. 2021/22 SemB exam answershttps://t.me/sloth02,1,53,,,,,
EF4312 final,勁多人帶埋手機去廁所 仲要去好耐lol,講多d?,佢好似特登放人出去出cheat咁,3,,,,,,
寫求情信有冇用,如果你嗰科fail第三次可能會比你pass嘅,你要grad 係你的事唔係prof 教學事你要講你温左唔識温到好大壓力要拉到learning 事先會理你,,,,2,9,,,
有冇人都收到EY audit intern offer🙋,5月29日,幾號on board?,Here,1,3,,,,,
收IS3430 pp,Pm,Pm,Pm,1,34,,,,,
唔好買CB2201 past paper,Yes,我見有人將一份out syp嘅past paper扮係2021 sem a賣,係咪呢條撚樣,1,9,,,,,
CB2101 Exam,What is ur ans,係constraint，好似textbook嘅example,,,,1,24,,,
EF4313 exam,唔同班唔同卷,話有d 人可能計好耐有d 有好快計到😂,佢考果陣重話咩大家最後先做Q3,1,11,,,,,
printing quota,笑死下個sem A 咪自動打滿點留去下個sem,For下個sem,完sem仲買嚟做乜,1,9,,,,,
收cs 2402 pp,Ok,pm?,,,,1,6,,,
收3430,放 1. 2021/22 SemB mock paper with answers2. 2021/22 SemB exam answershttps://t.me/sloth02,pm,Pm,1,34,,,,,
exam fail retake幾錢？,原來咁難…,Acct 要50,passing mark 50 易唔易fail,3,20,,,,,
收EF4327 上年final exam ans,1,,,,,,,,1,1
EF4327 past paper answer 急收,Pm,,,,,,,,1,1
收 is2505 exam,Pm 平放,Pm,Pm,1,32,,,,,
收CS2204 CS3483 final,Source?,Bears,,,,2,2,,,
收EF4313 Wayne Yu past paper,有,,,,,,,,1,1
放CB2201 pp,Pm,$20放Pp & ans,Pm,1,18,,,,,
收Cb2400 notes,Pm,Pm,pm,1,8,,,,,
收IS2505 source,Pm,pm,pm,6,,,,,,
平放IS3430 mock pp必番炒,I bought it before. It is real fake,Real fake,未買就話fake? 我賣左source咁耐有冇人話過我fake先,1,21,,,,,
☠,Pm,Pm,,,,1,15,收IS3430 pp,,
收cb2400 cheat sheet 同pp,系啊 4pages cheating sheet   but我冇time review🥺,2400唔係open book?,push,1,7,,,,,
收cb2400 source,我tg你？,Pm,Pm,1,9,,,,,
收mkt 3603 pp,如有請PM,,,,,,,,1,1
收Ef4313 Ma Yue exam,同收,同收,,,,1,2,,,
Recruit MKT Proj Coordinator,Push,Pm,can know more,2,15,,,,,
收3430 exam pp 最好上年,放 pp https://t.me/wakakakakakakakakakak,放 2021/22 SemB mock paper with answershttps://t.me/sloth02,有的話pm,1,3,,,,,
放 IS3430 source,放 https://t.me/sloth02,放 有意pm,,,,1,4,,,
放EF4313 exam,Pm,pm,pm,2,23,,,,,
EF4314討論區,簡單 早走左,大家考成點？,,,,1,3,,,
收EF4313 source,hv source or sth?,hi,,,,2,26,,,
__,Pm,Pm,Pm,1,15,,,收Is 3430 pp,,
收10/5 2pm 畢業guest ticket 有酬,如題，有意pm,,,,,,,,1,1
CB2240邊度考？,所以你唔睇清楚日期？,點算好😭,Retake la,1,7,,,,,
Chem2008,好想快D考完,見test2全班個mean勁高 唔知咩事,感覺thermodynamic嗰科炒梗,1,3,,,,,
收cb 2500 2201 2400 source,Pm,Pm,Pm,1,49,,,,,
收cb2101 pp + ans,pm,"Pm me, I have",Pm,1,14,,,,,
__,私下約得唔得？🫡 pre camp下,Pm,咩soc？我淫c,2,6,,,有冇絲一樣想做ocamp爸媽？,,
收 EF3441 pp,pm,https://t.me/Angus_6,pm,1,6,,,,,
summer sem住hall想夾情侣房,Okk,Pm🥹,Pm🥹🥹,2,11,,,,,
收cb2101 pp,Pm,pm,Pm have,1,3,,,,,
Ee4215 final,Part b佔四成完全唔識淨係part a都唔知拉唔拉到總分30%😵,,,,,,,,1,1
收mkt3603 CB past paper,Pm,pm,Pm,1,5,,,,,
放Ms3322 question bank,4xx頁mc lq ans有齊Pm if need有用,,,,,,,,1,1
平放om qb,Pm,Fake source,Ok,1,17,,,,,
CB2101 自製精讀notes $50,$5cheat sheet 上年A+,PM,Ok,1,17,,,,,
IS3100考試安排混亂,珍,🙄,又close network 然後一開始download 個zip又死檔,2,3,,,,,
讀緊bisi既人有無返intern?,返lab，讀phd,"讀緊bisi year 3, 其實bisi有無需要返intern? 感覺返lab intern又冇乜意義",,,,1,2,,,
放 EF3441 EF3442 EF3450,上年3450 同practice question一樣,Pm,3450 都要 source 嘅話 拎錢去驗智商仲實際,2,31,,,,,
收cb2203 ef3441 ef3442 pp,Pm,pm,Pm,1,15,,,,,
ocamp 爸媽interview會問咩,同埋唔一定係camp嗰幾日內,真係想扑實有方法,俾人影低仲得掂,1,28,,,,,
CB2200 Business Stat Exam一問,考完好耐啦wow,第一題prob 用pAB=pApB計btw你問黎做咩,regression跟step做,1,4,,,,,
收IS2505 exam pp,pm,Pm,,,,1,21,,,
收IS4246 2023 2502 3430 pp,pm,Pm,Pm,1,29,,,,,
急收EF4313 EXAM PP + Ans,Hi,,,,,,,,1,1
__,其實係,免費最開心,條友賣30比個frd 然後賣60比我 點解,1,32,,,一份Past Paper幾錢係合理,,
放cb2601,p m,This fake,Fake source,1,12,,,,,
IS4650收pp,IS4650 Global Tech Consulting Final Exam Past paper收pp,,,,,,,,3,1
__,高登以前好heat 高質d 但依加多人用連登 d人劣質,其實goop同高登連登有咩分別，只係講嘅野同學校有關,Both 狗也不,5,5,,,高登VS連登 擺低原因,,
放mkt 3603 A source,pm,Pm,Pm,1,6,,,,,
人,人死如燈滅,係有神但係上天堂唔會得永生，享完福（長壽命，冇煩惱）都係要繼續六道輪迴。六道輪迴分三善道同三惡道三善道1.天2.人3.阿修羅三惡道1.畜生2.餓鬼3.地獄*你見到天人都係六道輪迴其中一個，所以享完福就會根據你嘅業力（善惡）再定斷究竟去邊一道受果。*如果想今期生命上天就要行十善，唔係話信神就保證得。就算一個人唔信神但今世行十善臨終就可以上天。*天有分欲界、色界、無色界。例如最近我哋嘅天叫四天王天，佢哋一日等於人間50年。如果你修得越好你可以上越高嘅天（eg.非想非非處天）代表你壽命會更加長（以劫為時間單位）。想知多啲可以歡迎pm,先要定義神,9,11,,,有無人唔信神,,
炒咗CB2240請入,睇落似asm,各位小心炒車🫠🫠,易就多伏位,1,5,,,,,
ef3333考試識唔識,之前midterm都勁低mean,唔知grade點派,覺得最難邊度,1,5,,,,,
city 有冇得學武術？,點到即止啦,但係我會入，我唔識，你係入院啫,我識啲高級阿Sir,1,26,,,,,
收IS2023 & IS3430 PP,Pm,放2223a,Pm,2,13,,,,,
收MS3322 pp,Pm,pm,pm,1,5,,,,,
收EF4314 exam pp,Pm,Pm,pm,1,7,,,,,
Is2502 exam,U are difficult to pass,Passing rate will be higher,Ho L dor ppl cheat,1,6,,,,,
收cb3410 A range source,Pm have,Pm,Pm,1,16,,,,,
收cb2601 exam paper,Pm多次 thx,pm,Pm have:20212022B20222023AIncluded ansCan preview,1,4,,,,,
IS3430 $6000請槍代考,面談會唔會追人放蛇,整張學生證 p個樣落去,唔緊要 咁咪個個除口罩check樣,1,5,,,,,
收IS 3430 pp,有意收pp,有意PM,$6000請槍代考,2,4,,,,,
平放兩張 8/5 畢業禮 Tickets,有1張,This fake,有無咁多張啊 感覺可能係呃錢,2,9,,,,,
放cb3041 financial statement a,Ok,"Hi have 2 with ans, pm me coz no quota",If anyone have final pm me,1,42,,,,,
收cb3041 exampp,Pm,Pm 2 exam paper with ans ver,Which sem,1,5,,,,,
ef3333 curve點計,。,大概咩分有咩grade？,,,,2,2,,,
要求城大補辦過往3年畢業禮,城大遠遠比不上清華 不用想了,😭我個postgrad,啲人都出曬嚟做嘢,1,4,,,,,
讀迷哂 SEE,yr2 好易,Year1係咁架啦乜都要讀 year2開始就無咁迷,🫠gpa唔過2,1,11,,,,,
Is2502試後討論,final year 想pass然後grad only😢,呢科有無得send email求情... sene比Rupa定TA好,出到咁難好心就open book啦🫣🫣,3,35,,,,,
想收new media art嘅A source,SM1701,tg聯絡@pchanisthebest,,,,1,2,,,
收1張 5月8畢業禮🙏🏻🙏🏻🙏🏻,Pm,pm,收多張5月8 1630,1,9,,,,,
CB2500,全部亂寫,已含,LT1咁大咁多人 都捉到？😂,2,14,,,,,
收is2505 ebus past paper,Pm,Pm,放is2505 pastpapers with ans,1,6,,,,,
收MS畢業禮ticket,收 7/5 ticket 一張,,,,,,,,1,2
收ef4314 exam paper 同答案,Tg: nddn555有就直接tg我 麻煩曬🙏🏻,,,,,,,,1,1
收 GE 1202 Final Exam Paper,pm,pm,收,1,25,,,,,
收EF3441 source,pm,pm,pm,1,21,,,,,
收7/5 Acc 畢業典禮ticket 4張,有意pm,,,,,,,,1,1
收IS2023 pp,利申 A+ 建議Notes都係要睇,認真做Project就會識，Hea做嘅自求多福，唯有睇翻上堂D嘢,求pass🙏,1,15,,,,,
收cb2240 (include 5 LQ),Last sem F2F,Last sem都係重覆出pp,又係3LQ?,1,8,,,,,
Ge1352 放source,Pm,pm,Pm,1,9,,,,,
"畢業禮當日可唔可以用""預約參觀琥珀展覽""入去？",plz check dm,2,今年year3 想問下每個學生有幾多張飛,4,10,,,,,
收一張8/5畢業禮ticket,放,如題,,,,1,2,,,
放2500 IM PP,IM PP WITH ANS 22 semb,Pm,Pm,1,32,,,,,
收EF4313 [Yue Ma] past paper,pm,Pm,Pm have with ans,1,3,,,,,
收IS2505 pp+ans,已pm thx,已pm 等你覆🙏🏻,pm,4,90,,,,,
放ef4313 exam paper 有答案,Pm,Pm,有2份 有答案,1,3,,,,,
IS2021 大家覺得點,記得嗰課上堂 佢最尾有話個ch. 好緊要,😂😂,我以為佢教左新嘢,3,87,,,,,
收EF4314 cheat sheet,如題,,,,,,,,1,1
EF hon,唔同cohort 兩個準則,咁改制其實會唔會影響搵工🥲,係部分major3.5幾都係啱啱過mean，咩都無好正常,1,11,,,,,
is2023 點讀？,Pm,Pm,Pm,1,25,,,,,
誠心收EF4314 cheatsheet,Pm,Pm,Pm,2,14,,,,,
警世 ac2 LT-2 男廁今晚撞鬼,你試下係屋企聽個錄音同係嗰個廁所聽有冇分別,我都想知,真？,2,29,,,,,
CB2500,大概唔同grade嘅range會係幾多,大概唔同,,,,1,2,,,
$30放CB2101 ppx3+question bank,Pm,$15 ,Pm i hv ppx3 + question bank,1,26,,,,,
收 IS4538 O2O pp,Pm me if you have,,,,,,,,1,2
完Sem留言,完左啦,你咁快嘅,未完啊dllm,1,4,,,,,
求EF3331 Asia-Pacific C01，可買,Pm,You,High price for yiy,1,10,,,,,
收EF3331 pp,放 有答案,Pm,,,,1,2,,,
收Mkt3603 pp with ans,Pm,Pm,,,,2,2,,,
IS4940 已出分,87,我仲低過你😭,冇90咩grade?,1,13,,,,,
不滿學校畢業禮訪客安排聯署email,Defer lor 出年一定正常開放,又唔係琴日先出arrangements 有不滿去到依個先講 鬼理你咩,https://commencement.cityu.edu.hk/contact-us,2,12,,,,,
收Ef3333 4314 3320 近幾年pp,Hi,Pm,Pm,1,38,,,,,
收is2023 pp,pm🥺,Pm,Pm,1,14,,,,,
想問吓依家學校外人入唔入得？,Template :不滿學校畢業禮的訪客安排致 香港城市大學周亦卿研究生院 、香港城市大學校友聯絡處、香港城市大學教務處畢業典禮本是大學生完成4 年學業，親友與莘莘學子普天同慶迎接人生新篇章的日子，但是學校的安排卻不盡人意，除了父母以外，其他親友對於同學成長路上亦同樣重要，畢業禮當天只能讓經網上申請的兩位親人入校觀禮，而其他親友不準入校與學生合照，那麼畢業禮還存在什麼意義？ 因此，我們認為城大應參考其他大學運作模式在畢業禮當日開放所有畢業生親友入校拍照，況且疫情已平穩，更加應該不設限制地讓同學與各親友在學校紀錄美好時刻。       敬祝鈞安                     城市大學xx系大四學生 xxx 謹啟2023 年5 月1 日,以家得city同poly唔可以比學生自由帶街外人入🙈🙈,轉左校長可能就開,1,8,,,,,
畢業禮個日係咪要有e ticket先入到City,Template :不滿學校畢業禮的訪客安排致 香港城市大學周亦卿研究生院 、香港城市大學校友聯絡處、香港城市大學教務處畢業典禮本是大學生完成4 年學業，親友與莘莘學子普天同慶迎接人生新篇章的日子，但是學校的安排卻不盡人意，除了父母以外，其他親友對於同學成長路上亦同樣重要，畢業禮當天只能讓經網上申請的兩位親人入校觀禮，而其他親友不準入校與學生合照，那麼畢業禮還存在什麼意義？ 因此，我們認為城大應參考其他大學運作模式在畢業禮當日開放所有畢業生親友入校拍照，況且疫情已平穩，更加應該不設限制地讓同學與各親友在學校紀錄美好時刻。       敬祝鈞安                     城市大學xx系大四學生 xxx 謹啟2023 年5 月1 日,好呀,Template :不滿學校畢業禮的訪客安排致 香港城市大學周亦卿研究生院 、香港城市大學校友聯絡處、香港城市大學教務處畢業典禮本是大學生完成4 年學業，親友與莘莘學子普天同慶迎接人生新篇章的日子，但是學校的安排卻不盡人意，除了父母以外，其他親友對於同學成長路上亦同樣重要，畢業禮當天只能讓經網上申請的兩位親人入校觀禮，而其他親友不準入校與學生合照，那麼畢業禮還存在什麼意義？ 因此，我們認為城大應參考其他大學運作模式在畢業禮當日開放所有畢業生親友入校拍照，況且疫情已平穩，更加應該不設限制地讓同學與各親友在學校紀錄美好時刻。       敬祝鈞安                     城市大學xx系大四學生 xxx 謹啟2023 年5 月1 日,4,21,,,,,
