参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
求SCE biz exam past paper,🐻,求 SCE business dfs 3405 exam paper 🙏🏻🙏🏻🙏🏻,,,,,,,,,,1,1
求 BUSI3046 Sources🙏🏻,🌺,pm,gonjai,https://t.me/plolpq,,,,,19,,,,
Geog2016考咩,🍦,全部,,,,,,,,,,1,1
求mktg2005 source,😼,Pm,😼,Pm,,,,,1,21,,,
"收BUSI3046 exam paper , ans",gonjai,https://t.me/plolpq,🐻,Which yr exam?,gonjai,Have exam paper ans pm plz,1,3,,,,,
求Fine 2005 final source,😌,有冇平啲,Anx234,Have 2021 exam sources,,,,,1,2,,,
FYP dissertation同project有咩分別？,😼,個一個sem同兩個sem嘅分別，字數內容project 一定多d,,,,,,,,,,1,1
收BUSI3006 notes & exam paper,gonjai,"Have A grade source,pm",Anx234,Have exam past paper with reference answer,😕,Pm,1,31,,,,,
收phys1005 past paper,🌿,Green energy 岩用？,數撚a,推,🙇,收phys1005 past paper,1,3,,,,,
求FINE M&A 4027 PP 薄酬,😭,🥺🙏🏻🙏🏻🙏🏻,😭,感謝你🙏🏻🙏🏻🙏🏻🙏🏻,😭,要 thx pm ?,1,5,,,,,
求MATH1005 source,🐝,pm,數撚a,Hi math1005 A,,,,,1,2,,,
😐,💃,好似係 同埋有人數上限 一個bu學生好似淨係可以帶兩個outsiders,🐉,如果係外人入去打，要每人比30蚊？,,,,,1,7,想問BU羽毛球場俾唔俾外人來打？,,
有冇人比學校捉到用chatgpt?,🍥,有冇放上去check？,😳,唔記得cite 返兩個係chatgpt揾嘅例子，又第一次用，好驚比人周到……,,,,,1,2,,,
求IMC marketing exam material,😗,$100 真心求救,,,,,,,,,,1,1
Bio grading,🐛,想問Bio course 個grading 係點計聽人講係absolute grading 但係唔知每個grade個分係要幾多Professor/lecturer 冇講過呢樣野所以想問下🙏🏻,,,,,,,,,,2,1
有冇人收到AO intern offer?,🎅,啱啱收到,😒,因為出晒offer啦,🙎,仲未有消息…,1,31,,,,,
☠,🍿,仲有冇～～,🍤,Pm,🌝,"B+ 但得asm , 上年無exam",1,4,,,收SOCI2015 source,,
收BUSI 2035 pp,Anx234,Pm,Yinnnnnn,"Hi, how much?",Anx234,Pm,1,8,,,,,
日本直送！！！有無人有興趣？,😋,$188,🌝,最低數上第二層最大嗰隻熊幾錢吖,🌝,👌🏻,3,22,,,,,
Hist2105 exam,💁,請問有冇朋友知Hist2105 exam大概會考啲咩？🙏🏻,,,,,,,,,,1,1
zhou個p食過莊員？,😇,之前係咪有po話iv係gay,😽,佢同有仔嗰個莊員都有d野,🙀,入到嚟相都冇張,2,14,,,,,
22-23 sem 2 France exchange,🍛,Hi,Laihamo,Ok,Laihamo,Ok,1,7,,,,,
求問gis graduate day係幾時？,nnnrrr,求問ching係session幾🙏🙇‍♀️🙇‍♀️,💣,6月1,nnnrrr,up,1,4,,,,,
Hall tutor會攞到同學d咩個人資料？,🍱,三圍,🍓,同電話號碼 學生證no.,😹,"正常淨係知你名 ,major, year同有冇住過hall",1,10,,,,,
招慈雲山補習社part time,慈,點開頭像的火圈就可以對話。,😮,pm,慈,點開頭像的火圈就可以對話。,1,31,,,,,
BUSI2035用咗AI 做zoom test,🍊,估唔到文盲都入到大學,👼,Pm,👼,咁有冇人知佢係講成個course冇咗一半定係淨係個Test🥹🙌🏻,1,15,,,,,
Dram soc,😛,想問係咪只可以入一年crew? 有冇得下年轉team,,,,,,,,,,1,1
有冇女仔暑假去韓國延世exchange但reg唔到hall?,🐪,有冇絲都係apply唔到hall  想一齊做伴住出面民宿？(我去6 week嘅),,,,,,,,,,1,1
Chatgpt做asm,🗿,好多學者出paper 都會揾人做editing 執靚grammar 呢個係絕對冇問題；只係對學生嚟講比唔起呢筆錢或者唔想比，依家科技可能令到成本大幅下降,🗿,如果只係check grammar 好難話係plagiarism 除非你啲寫啲嘢本身有問題/冇做citation,🐜,但都要睇department，部分department 出左email 話會check ，捉到照計academic dishonesty,2,39,,,,,
你地有冇幫襯過穿珠仔伯伯,🍜,仲有冇人見到佢👀,😕,琴日係公園 籃球場對出既紅綠燈見到佢 可以幫襯下伯伯 其實一個都唔算貴 而且幾得意幾特別,,,,,6,44,,,
🀄,🌿,尋晚先除完Zhou 11,😴,再上年就有,😴,今年冇乜聽過Soong有gay,1,42,,,Reg 咩hall 好？,,
想問下有冇人可以教琴,🐲,可以pm先傾下利申:BU music,👷,Ivan gor gor 可以,🍷,未教過人地琴所以咁平已有8級 abrsm,1,10,,,,,
MATH1025 test2,🐍,份卷真係好難🙈,😰,想問大家有冇past paper或者題型？,,,,,1,2,,,
Math3836 asm4 價錢pm,🌬,Pmpm,🌬,Pmpm,😕,Pmpm 包full mark,1,5,,,,,
有償 求FINE4025 resources,🍩,有無人有Finance Compliance 既exam paper🙏 出$500買🙏,🍩,push！,🍩,出$500 買paper,1,3,,,,,
收mktg3025 source,😐,求救 已經被人free ride 好大workload🥲,,,,,,,,,,1,1
收MKTG2005 exam source🙏🏻,🙄,Pm🙏🏻,😐,pm🙏🏻,🌷,PM,2,5,,,,,
yang有無靚女,😎,無,,,,,,,,,,2,1
GEOG4005 求sources,🎅,收final pastpaper!,🎅,想知exam會點考 有無sources/exam tips,,,,,1,2,,,
好唔鍾意BU,🤒,發生咩事😂點解邊到都見到佢,蠔餅豪,識到Ivan gor gor，好鍾意bu,🍙,其實係人嘅問題 去到邊都有。。,4,13,,,,,
想搵study partner or 識下人,😣,Ivan gor gor is the best,emilkaiII,math2005,😎,Pm,1,11,,,,,
Bu啲人手腳好唔乾淨咯,🌯,想含Ivan條乾淨撚,😕,Ivan gor gor 最乾淨,😋,報警搞鳩大佢。偷呀啦。,1,10,,,,,
求4呵靚仔靚女IG,🍉,Ivan gor gor都唔識？,,,,,,,,,,1,1
FINE 2005,Anx234,Pm,0tytyty0,Want sources,😚,Pm (有A grade source),1,11,,,,,
HA Finance Intern,🍉,半個鐘,🐰,大概in幾耐？,🍉,輕鬆既,6,,,,,,
畢業典禮單拖,🙄,有冇今年SOCI 畢業單拖？,😣,pm?,😣,pm?,2,22,,,,,
20蚊西醫可唔可以walk in,🍕,🫠😭,🌴,但八成叫你幾個鐘後先返黎,🌴,可,1,3,,,,,
🌚,Anx234,Pmed,😽,pm,Anx234,Pmed,1,9,,,求busi2045 source,,
Busi2035 test 難？,Anx234,咪吹咋嘛,Anx234,我都冇,🐷,我冇聽書🥲,1,6,,,,,
免費送￼LLAW3007 notes,🐬,pm,💃,Pm,TS1213,Pm,1,72,,,,,
GTSU2036 Ethic Govern Policy,🐝,A- 0聽書啱嗎？,🐌,上個sem讀，A 🙏🏻,😿,pm,1,31,,,,,
GTSU2036 term paper,🌚,上個sem攞A，有興趣可以P M,🍦,pm,🍖,pm？,2,8,,,,,
🐎,🦄,芒果,😼,難道你就係傳說中既gis 東🤔,,,,,14,78,bu有無淫絲？,,
放BIO source,👼,Push,👲,已pm 你,😵,Pm,1,12,,,,,
⛄️,🤑,真心想識吓幼教c 齋frd/發展落去都ok,,,,,,,,,想識幼教c,1,
幼教c 點樣識男仔？￼,🤗,想識幼教c,😫,Grad個日收到本畢業相簿米知幼教算唔算BU,😉,"攪到我想出po叫""幼教ba 點樣識男仔？""，諗起都興奮😖😖😖",1,14,,,,,
2324 Sem2 Denmark exchange,🐘,https://t.me/+rGeYzOnD0ThlZTZl,😥,開個tg?🤣,🐉,Pm,1,7,,,,,
🌞,🐧,有冇人🥹🥹🥹,,,,,,,,,23-24 sem 1 台灣政大exchange 🌞🥹,1,1
😬,😨,Sogo thankful week,👺,McDonald,🌝,Sorry missed再dm🙏🏻,18,72,,,有咩Parttime好翻呀,,
原價讓blackpink 演唱會,😗,朋友臨時去唔到急原價讓一張pen c 新加坡🇸🇬場有意請dm,,,,,,,,,,1,1
UCHL1046 game viewing asm,一心個朋友允行,有冇人識做UCHL badminton scoresheet 🥲完全唔識得計分 求指教🙏,,,,,,,,,,1,1
求FINE4027 source,🌬,求source tg,,,,,,,,,,1,1
zhou hall莊咩事？,🌛,但係佢實際具體做左啲咩先 唔係話幫佢定點 只係覺得我認知中嘅佢冇你講到咁差 （？）,🕵,唔止試莊單野比成枝莊杯，連層都冇人中意佢，睇下Rainbow同佢幾大分別,🕵,你係未住7/f先,2,20,,,,,
有冇人data mining冇group 要一齊,😿,So sad,😿,Math3836,😳,講緊comp4027?,2,7,,,,,
(高達港幣$1000現金資助) 誠邀浸大同學參加跨代共學活動,😌,Push,😌,Push push,191999,📷,2,4,,,,,
3百蚊訪談酬謝睇過嚟👏,🐑,我們（香港浸會大學傳理學院）現在有個研究，想找人做訪問。就是問問大家對於網絡論壇的意見和感受。訪問是在ZOOM進行的，可以在你方便的時間和地點。想找的人要滿足以下條件：1.	香港本地人2.	曾經註冊過連登，高登或香港討論區（任意一個就可以）超過一年的3.	年齡：女35-44歲；男55歲以上；參加者可以獲得300港幣的現金酬謝。如果有時間參加的，請PM我（WhatsApp: 90277593）啊，好需要大家幫幫手，自己參加之餘，也請幫忙問問有沒有親戚朋友可以幫忙做下訪問的。,🐑,最新要求如下：35-44歲：1女55-64歲：1男 1女65+歲：1男,Christinaki,具體要求如下：27-34歲：1女35-44歲：1女55-64歲：1男 1女65+歲：1男,2,5,,,,,
邊度仲有internship 參加,billgate,你up咩9,,,,,,,,,,1,1
覺唔覺得BU近排多咗好多人做有關career嘅問卷？,😕,填過跟住有個唔多熟既frd打黎叫我去見下manager 婉拒完都係咁叫我去 又話唔比其他人跟,🍧,真是啊 成日打電話黎叫我去見咩manager，超級煩,🌷,見過有人show張hku學生證喺隔離一路show一路講嘢 跟住我on99就填咗而家多咗啲冇見過嘅no.打嚟冇咩事都係唔好填🤥想返工就自己揾算數啦,1,6,,,,,
Math exam一問,🙏,大din,數撚a,有zeta function 點會是 calculus 2,🍩,很刺激 是textbook的？,1,9,,,,,
入黎投票吓你今年嘅住hall體驗,👽,Sls得zhou係正評多過負評,🌰,又唔撚識隊草 又冇野挽 睇我楊就唔同,🌰,因為真係比狗住,1,4,,,,,
MAP 澳洲搵隊友,👸,Hi,🌮,Pm,Karen05,Hello,2,19,,,,,
畢業袍想m換s,😨,我件袍唔見咗🥲,😺,有冇人想s換m？,,,,,1,2,,,
(╥﹏╥)有冇人今日執到一個藍色嘅銀包,😡,Rip,😡,可能一樓攞左你啲錢,2marn,多謝(;´༎ຶД༎ຶ`)搵翻了 好人一生平安,1,5,,,,,
Mktg4007 入,🐵,Group project 一問 可唔可以pm,,,,,,,,,,1,1
🗿,😗,加油！,acccccccc,一定係撐,😍,多謝支持！🥹,8,11,,,支唔支持SU Exco候選內閣滄溟？,,
Drop科限制,🐦,我都驚佢唔批。。。要meeting,🍹,試過drop 2次。2次都批你講到自己跟唔到進度/ workload 太多 handle 唔到之類佢基本上都approve,,,,,1,5,,,
放Busi 2045 resources,👾,pm,👾,pm,Anx234,平放！,1,67,,,,,
大中￼爛grade可以點算,🙈,我30先withdraw 唔知得唔得,Yuenowo,係呀，而家我直接apply course withdrawal 希望批啦😵‍💫,🙃,個prof咁不近人情咩,1,4,,,,,
跌左嘢係咪去保安室問,😡,Ok thanks,acccccccc,是,,,,,1,2,,,
MKTG 4007 brand,😅,有冇人有exam past paper✨✨🫶🏻,,,,,,,,,,1,1
🍟,👽,killer,🌱,Adam,👿,係咪傻撚咗？,6,14,,,Soci邊個prof最好?,,
今年宋hall有冇靚仔,🐦,我,,,,,,,,,,1,1
GCAP3066有冇人take？,🍏,我都系今個sem take咗,,,,,,,,,,1,4
有冇人想喺bu regularly打乒乓波,Nsnsns,推,Nsnsns,有興趣就不如直接入group,Nsnsns,https://t.me/+2qqLRhUQL2I3MTJl,1,22,,,,,
Year 4 快畢業有冇得申請summer exchange,🐉,Please read the guidelines la,🐉,可以,🍌,有冇人去過,1,3,,,,,
bu有咩好野食🍢一人一個推介,🍡,呢嗰飯去城大食收$21,🍡,AAB can好貴喎,😸,Aab 5/f 章魚雞粒飯,6,87,,,,,
求MKTG3045 Past Paper🙏🏻,😍,我咪比左信封你，你自己又唔按火圈又重新pm我卻唔比信封我🥲🥲,Feifeimehmeh,Pm 🙏🏻,🍙,Pm🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,1,11,,,,,
Outstanding Student Leaders,🌲,有冇人收到Outstanding Student Leaders Awards嘅interview通知？有冇上年in過嘅，介唔介意講吓問過咩？thanks🙏🏻🙏🏻,,,,,,,,,,1,1
⛹,🐀,星期日book左330-530有興趣可以一齊黎🫢🫢,🐭,有興趣可以㩒link入telegram group! 👆🏻👆🏻👆🏻,,,,,2,23,羽毛波,,
有冇bu既人一齊打台牌,🙂,Pm,🐙,Pm,,,,,2,34,,,
zhou hall 2個 hall tut 一齊咗,😝,on撚9😂😂😂,😮,已復合,😝,已分手,1,8,,,,,
🌸,💁,識嘅人已經group曬  我單丁咗。。。,🍤,唔好諗咁多 同識嘅人同房一樣可以含曬,,,,,1,2,有冇人試過隨機分roommate有唔好嘅經歷？,,
zhou冇下莊？,🌛,點解？,🍠,莊都落埋，莊員幾時爆哂evp啲系嘢出嚟,🍠,ev比莊員杯到咁 quit hall未？,2,11,,,,,
中文系一問,😻,真係會 記得去齊&見夠老師,👿,想問如果達唔到要求，係唔係真係會降級㗎???😢😢,🐪,基本上中文系辦公室都會forward 呢啲活動嘅 email，會講明計唔計印仔紀錄，通常係同中文系有關嘅學術talk、seminar。另外系Soc每年學術周嘅talk都會計。,4,4,,,,,
有冇人收Micosoftemail話lowstorage,🐷,點搞？㩒咗入去佢又冇其他指示好似scam咁,,,,,,,,,,1,1
求mktg3007 source,🐹,Dm,🐹,can,🍱,$300？,1,6,,,,,
BUSI2045 a4 賣ans,FrankZhang,Pm,🍷,低價出售有意pm,🐒,Pm,1,12,,,,,
放busi2045 source,FrankZhang,Pm,👷,pm,🐒,Pm,1,5,,,,,
問卷互助區🙌🙌,🍨,如果入左group既 麻煩睇下group description 入面有群組內所有人既問卷 新加入者可隨時係group派問卷 但亦麻煩幫手填好所有doc入面既問卷 非常感謝!🙌🙏🙏 每個人幫手派啲好快派完💪💪💪,🍨,我地開左個wts群組 每人都會幫手派2-3個左右 同做緊fyp既 可以加入我地 互相幫手做問卷🙌🙌💪💪💪https://chat.whatsapp.com/EiB3i95d4W5HAr5tVi6BcA,,,,,2,2,,,
求busi3006 source,🌝,Pm,🌝,Pm,👹,pm,1,17,,,,,
Minor一問,🍼,問ar 啦,🍋,如果19年入學，但跟咗2022 bulletin and after….係咪冇得minor…,,,,,1,2,,,
求mktg3025 求3045 source,🍉,等救命呀😭😭😭😭,,,,,,,,,,1,1
有冇人有上上禮拜三朝早個書法,🌾,。感謝你🙏🏼🙏🏼🙏🏼🙏🏼我skip咗個email,🌰,冇check email？,🌾,上禮拜無去上到，想問係咪教咗畫雀啦？🥲,1,3,,,,,
求busi2045 mid term source,😐,pm,👵,Pm,🤔,$30 all sources (5 assignments + mid term + exam) in this course (A grade),1,35,,,,,
有冇人去過career centre嗰個內地實習？,😍,Main9,👻,On9,,,,,1,2,,,
組桌遊遊戲組,😚,我冇信封,🐄,大佬歡迎！我睇下點樣搞多啲人過嚟之後再通知你,😚,Pm,1,5,,,,,
求Fine 4025 compliance pp,🐺,Lm,😕,Lm,,,,,1,2,,,
澳洲exchange 集合 23-24,🙎,yep,🍇,想問下其實個度寫1st fall semester 23/24 係咪指我會sem 1 去？,🙎,同學可唔可以再pm 一下我,1,24,,,,,
有冇住hall les?,😙,👀👀,,,,,,,,,,1,1
Summer 英國Leeds exchange,🌯,我都有了！,⛹,有冇人都有offer？,⛹,我有啦,1,15,,,,,
Accept完exchange之後有咩要做,🍤,我都係sem2 咁遲會唔會搞唔完個簽證😨,🍸,我係sem 2去嘅 10月先收到 但我已經係早收到嗰批😂,🍤,有冇話大概幾月會出？,2,9,,,,,
🌚,🐽,Hp? 可以問返supervisor,,,,,,,,,全部hypotheses fail會點,1,2
有冇人上過comm lan liang既堂？,🌶,佢power point写得好清晰，人都好好，问问题会好有耐性噉教你。,,,,,,,,,,1,1
搵下bu有冇人打bs?利申:早幾日跑上堂經過睇到,😓,j eng,😇,Ys,😶,bs唔會係講緊bs卡吓話？童年回憶,3,11,,,,,
GFQR1045 section 1 分組,👰,求groupmate,,,,,,,,,,1,3
🀄,🍫,我出咗,👽,聽大中professor講最遲都會喺交議論文果個week出🤔,,,,,2,2,yr1大中說明文分數幾時出,,
BU 中學英文 FT PGDE 如何？,🐛,今年final year cgpa: 3.4x,🍅,介唔介意問吓你gpa,🐛,明白! 點都會accept offer先，唯一擔心交完二萬幾銀後先再收到其他U嘅offer 😭,1,5,,,,,
🌞,🐕,叫佢上台加馬話送九龍塘去紅磡嘅巴士來回 😂 懶好笑其實好尷，校長人工咁多都唔肯即場加馬。人地學生會會長比人叫加碼都即刻放低1000蚊比人即場抽啦。,😝,佢做咩事？,🙀,最柒一定係衛炳江,1,3,,,大家覺得今年千人￼宴會點樣￼～,,
有酬求Econ2017 assignment 3 ans,🐦,如題🙏🙏,,,,,,,,,,2,1
有冇人讀城大GE COURSE GE1110！！！,🙊,救命我唔識pm人添😅🙏🏻🙏🏻,🍵,Me 讀過 你Pm 我,🙊,嗚嗚嗚嗚嗚嗚求求了,1,5,,,,,
Hon Pro求救,🕴,想問你可唔可以幫我做呀我pm send比你呀唔該曬你🙌🏻,🕴,Hello done,🤕,Done too! Longd過/ longd緊嘅朋友麻煩都入黎填一填返問卷！！謝謝https://hkbu.questionpro.com/t/AXJ3UZxBGM,3,9,,,,,
關於drop科,🍘,Thanks,🐹,要睇下你之後D科洗唔洗要先讀呢一科,🍘,"想withdraw一科core, 但好似唔係每個sem都有得讀, 有冇咩途徑可以知道下年既schedule（打電話？）, 定要等下年先知？",1,3,,,,,
想約打乒乓球,🌚,"Hi, 想join+1. pm～",,,,,,,,,,22,
Isem3005 section2 grpmate~,🦄,Isem3005想搵groupmate!!,,,,,,,,,,1,1
Yr1 science major有冇限人數讀?,🤑,咁冷門一定讀到,🐫,Analysis and testing,🤑,想讀邊個major?,1,7,,,,,
PHYS1005 mid term 識唔識,Halohaaaaaaa,只要你跟足平時上堂ppt嗰flow 代返題目啲數 就唔會fail㗎啦,🐠,覺得自己 fail 硬係咪可以準備 drop 咗佢,,,,,1,2,,,
4年夾埋可唔可以讀超過128cred？,🐃,你想嘅話4年讀256cred都得，學費不變,🐃,唔洗呀 defer先要跟credit俾錢,💂,狂爆cred lor😂,1,6,,,,,
有冇人summer exchange去UBC啊？,👽,sorry 個chat 過咗期 add tg?https://t.me/rju1234,👽,sorry 個chat 過咗期 add tg?https://t.me/rju1234,👽,pm?,1,16,,,,,
做hon pro做到好辛苦,🐷,I can help you,🍓,Forced呀要 唔係好難搞,🐬,目標100 但有啲人填到一半又唔填咁 都幾麻煩🥵,2,9,,,,,
isem3005 groupmate,🍮,Dm,🍮,Dm!,,,,,1,13,,,
放busi2045 （包all),gonjai,https://t.me/plolpq,😸,Pm,🐁,平放mid term asm exam 有意pm~,1,8,,,,,
🐔,🐗,大家可以入嚟交流下🙈,🐗,開咗個tg group ！,🐗,https://t.me/+aQ9RgdeesWgxMmQ9,1,22,,,23-24 Sem 1 法國🇫🇷,,
ACCT3006,🍁,咁冇啦 我section 1..,👺,Section 2,🍁,Section幾 一齊做份project?,1,4,,,,,
busi2045平放source,🍩,pm,😘,"平放assignment, midterm, exam source (A grade)",,,,,1,2,,,
新加坡MAP搵隊友🙌🏻,Jas4277,其實宜家有幾多個人去MAP新加坡？,😌,有冇MAP新加坡嘅隊友！,,,,,1,2,,,
☠,🐎,浸會大學電影系畢業作品】！！！求學生臨演！！！要求黑色/深啡色頭髮 男女不拘10/3 1000-1700 將軍澳有興趣請dm me因經費有限，只能提供午餐作報酬,,,,,,,,,電影系Hon Pro 求救！,1,2
有冇人之前去過首爾大exchange,🍓,想知大家點揀department 同 有咩用 係咪唔跟major都得,,,,,,,,,,1,2
MAP上海有冇人呀💁🏻‍♀️,🐲,有啊,,,,,,,,,,1,1
台北MAP搵隊友(๑•̀ᄇ•́)و ✧,🙈,Ok!,🌞,pm( • ̀ω•́ )✧,🙈,Here!,2,4,,,,,
想問有冇人做過/做緊AESC intern ？,🍭,建議未拎到錢嘅人都去催下佢 如果唔係佢地可能會唔記得你份嘢/借啲嘢拖,🍭,呢個centre真係踢一踢先郁少少今日搵咗Fo，FO係表示冇收過任何嘢，但係仲有十四日就夠期佢地全日都冇覆過email回應咩事，set咗deadline俾佢地,🍭,想講佢拖到而家仲同我講因為扣咗假期未過兩個月processing期 好過份,1,12,,,,,
求mktg 2035 sources,🍩,求救,,,,,,,,,,1,1
ORGC 4037/ PRAD 4075,🐤,有冇人有source,,,,,,,,,,1,1
想問下有冇已經grad左宜家做緊野既前輩?🙏,2024,https://hkbu.questionpro.com/t/AXJUMZxDfv,🌜,想請求已grad返緊工既前輩可以幫手填下survey🙏🙏麻煩嗮🙏🙏🙏,,,,,1,3,,,
summer school可唔可以自己出面報？,🐹,即係唔喺bu summer exchange個網入面嘅學校，自己報第二間得唔得架？,,,,,,,,,,1,1
